SmartShield monitor log (generated)
2025-10-17T17:45:45.533607Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:45.699032Z | TCP | 185.199.108.133 -> 10.2.0.2 | sport=443 dport=58601
2025-10-17T17:45:45.700035Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:45.701034Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.024496Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.026488Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.027487Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.027487Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.028486Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.029485Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.029485Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.030484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.030484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.031484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.031484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.032484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.033484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.033484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.034484Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.207275Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.253252Z | TCP | 10.2.0.2 -> 35.175.27.231 | sport=55664 dport=443
2025-10-17T17:45:46.282680Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.287042Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.376177Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.376177Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.376177Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.407682Z | TCP | 35.175.27.231 -> 10.2.0.2 | sport=443 dport=55664
2025-10-17T17:45:46.439726Z | TCP | 52.88.9.152 -> 10.2.0.2 | sport=443 dport=59214
2025-10-17T17:45:46.476143Z | UDP | 10.2.0.2 -> 10.2.0.1 | sport=59911 dport=53
2025-10-17T17:45:46.502288Z | TCP | 10.2.0.2 -> 52.88.9.152 | sport=59214 dport=443
2025-10-17T17:45:46.660065Z | UDP | 10.2.0.1 -> 10.2.0.2 | sport=53 dport=59911
2025-10-17T17:45:46.660065Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.660065Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.970912Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.973516Z | TCP | 10.2.0.2 -> 18.64.67.109 | sport=58820 dport=443
2025-10-17T17:45:46.973516Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.973516Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.988010Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.988010Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.988010Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.988010Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:46.988010Z | UDP | 10.2.0.2 -> 18.64.67.109 | sport=65205 dport=443
2025-10-17T17:45:47.132941Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=59438
2025-10-17T17:45:47.133929Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=59438 dport=443
2025-10-17T17:45:47.141953Z | TCP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=58820
2025-10-17T17:45:47.141953Z | TCP | 10.2.0.2 -> 18.64.67.109 | sport=58820 dport=443
2025-10-17T17:45:47.141953Z | TCP | 10.2.0.2 -> 18.64.67.109 | sport=58820 dport=443
2025-10-17T17:45:47.141953Z | TCP | 10.2.0.2 -> 18.64.67.109 | sport=58820 dport=443
2025-10-17T17:45:47.244232Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:47.245194Z | 17 | 18.64.67.109 -> 10.2.0.2 | 
2025-10-17T17:45:47.246196Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:47.248234Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:47.249448Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
2025-10-17T17:45:47.249968Z | UDP | 18.64.67.109 -> 10.2.0.2 | sport=443 dport=65205
